iter	Passed	Remaining
415	3133	4398
416	3141	4391
417	3148	4384
418	3156	4377
419	3164	4369
420	3172	4363
421	3180	4356
422	3188	4349
423	3196	4342
424	3204	4334
425	3211	4327
426	3219	4320
427	3227	4312
428	3234	4305
429	3242	4297
430	3250	4290
431	3257	4283
432	3265	4275
433	3272	4268
434	3280	4261
435	3288	4254
436	3296	4246
437	3303	4239
438	3313	4234
439	3322	4228
440	3330	4221
441	3338	4214
442	3347	4208
443	3355	4202
444	3364	4195
445	3372	4188
446	3379	4181
447	3387	4174
448	3395	4167
449	3403	4160
450	3411	4152
451	3418	4145
452	3426	4137
453	3434	4129
454	3441	4122
455	3449	4115
456	3457	4107
457	3464	4099
458	3471	4091
459	3479	4084
460	3486	4076
461	3493	4068
462	3500	4060
463	3508	4052
464	3516	4045
465	3524	4038
466	3532	4031
467	3539	4023
468	3546	4015
469	3554	4008
470	3561	4000
471	3570	3993
472	3577	3985
473	3583	3976
474	3590	3968
475	3597	3960
476	3605	3953
477	3612	3945
478	3620	3937
479	3627	3930
480	3635	3922
481	3642	3915
482	3650	3907
483	3658	3900
484	3665	3892
485	3673	3885
486	3681	3877
487	3688	3869
488	3696	3862
489	3703	3855
490	3712	3848
491	3719	3840
492	3727	3832
493	3734	3825
494	3742	3817
495	3749	3810
496	3756	3802
497	3764	3794
498	3771	3786
499	3778	3778
500	3785	3770
501	3793	3763
502	3801	3755
503	3808	3748
504	3816	3740
505	3824	3733
506	3832	3726
507	3840	3719
508	3848	3712
509	3856	3704
510	3864	3697
511	3872	3690
512	3880	3683
513	3887	3676
514	3895	3668
515	3903	3661
516	3909	3652
517	3917	3644
518	3924	3637
519	3932	3629
520	3940	3622
521	3947	3615
522	3956	3608
523	3963	3600
524	3971	3593
525	3979	3585
526	3987	3578
527	3995	3571
528	4003	3564
529	4010	3556
530	4018	3549
531	4025	3541
532	4034	3534
533	4041	3527
534	4049	3519
535	4057	3512
536	4065	3505
537	4072	3497
538	4081	3490
539	4088	3483
540	4096	3475
541	4104	3468
542	4112	3461
543	4120	3453
544	4127	3446
545	4135	3438
546	4143	3431
547	4150	3423
548	4158	3415
549	4165	3408
550	4173	3401
551	4182	3394
552	4189	3386
553	4197	3379
554	4205	3371
555	4213	3364
556	4222	3358
557	4230	3350
558	4238	3343
559	4246	3336
560	4255	3329
561	4263	3322
562	4270	3314
563	4278	3307
564	4287	3300
565	4295	3293
566	4303	3286
567	4311	3278
568	4318	3271
569	4326	3263
570	4334	3256
571	4342	3249
572	4350	3241
573	4357	3234
574	4365	3226
575	4372	3218
576	4379	3210
577	4387	3203
578	4394	3195
579	4402	3187
580	4409	3180
581	4416	3172
582	4425	3165
583	4432	3157
584	4440	3149
585	4447	3142
586	4455	3134
587	4463	3127
588	4470	3119
589	4477	3111
590	4485	3104
591	4492	3096
592	4499	3088
593	4506	3080
594	4514	3072
595	4521	3064
596	4528	3057
597	4536	3049
598	4544	3042
599	4552	3035
600	4560	3027
601	4568	3020
602	4576	3012
603	4583	3005
604	4591	2997
605	4598	2990
606	4606	2982
607	4613	2974
608	4621	2966
609	4628	2959
610	4635	2951
611	4643	2943
612	4650	2936
613	4657	2928
614	4665	2920
615	4673	2913
616	4680	2905
617	4686	2897
618	4694	2889
619	4701	2881
620	4708	2873
621	4715	2865
622	4722	2857
623	4729	2850
624	4737	2842
625	4744	2834
626	4752	2827
627	4759	2819
628	4767	2811
629	4774	2804
630	4781	2796
631	4789	2788
632	4796	2780
633	4803	2773
634	4811	2765
635	4821	2759
636	4829	2752
637	4836	2744
638	4844	2737
639	4852	2729
640	4861	2722
641	4869	2715
642	4877	2707
643	4885	2700
644	4893	2693
645	4901	2685
646	4908	2678
647	4916	2670
648	4924	2663
649	4932	2655
650	4940	2648
651	4948	2641
652	4957	2634
653	4965	2626
654	4973	2619
655	4981	2612
656	4989	2604
657	4996	2597
658	5004	2589
659	5012	2582
660	5021	2575
661	5028	2567
662	5037	2560
663	5045	2553
664	5053	2545
665	5063	2539
666	5072	2532
667	5081	2525
668	5089	2518
669	5098	2511
670	5106	2503
671	5114	2496
672	5123	2489
673	5131	2481
674	5139	2474
675	5148	2467
676	5156	2460
