iter	Logloss
0	0.6208553347
1	0.5552094093
2	0.4978657369
3	0.4436337187
4	0.4026410841
5	0.3660544147
6	0.3340189627
7	0.3009212191
8	0.2733683188
9	0.2471731095
10	0.2276141887
11	0.2106951859
12	0.1960629116
13	0.1796596292
14	0.1662943437
15	0.15298859
16	0.1430439305
17	0.1329443609
18	0.1233541965
19	0.115243159
20	0.1076636113
21	0.1010047367
22	0.09553515176
23	0.0904519387
24	0.08531418543
25	0.08053109768
26	0.07685305353
27	0.07336572675
28	0.07017631748
29	0.06740144116
30	0.0646814004
31	0.06247673696
32	0.0606512932
33	0.05848395645
34	0.05650783965
35	0.05488868462
36	0.05324287768
37	0.05174369055
38	0.0503678026
39	0.04901171521
40	0.0479302
41	0.04691657229
42	0.04585781076
43	0.04494806646
44	0.04410560342
45	0.04328909947
46	0.04249952531
47	0.04182886106
48	0.04121017337
49	0.04054345894
50	0.04001443753
51	0.03948808195
52	0.03897981625
53	0.03858575555
54	0.03816257538
55	0.03773848084
56	0.0373638389
57	0.03708749034
58	0.03669699242
59	0.03634405537
60	0.03599522548
61	0.03560235135
62	0.03531547337
63	0.03514093755
64	0.03488103806
65	0.03458499685
66	0.03433302739
67	0.03408037089
68	0.03386863472
69	0.03356282731
70	0.03331776873
71	0.03311830527
72	0.03291741075
73	0.0327705064
74	0.03259379346
75	0.03241675517
76	0.03229887109
77	0.03216461559
78	0.03192066391
79	0.03173872132
80	0.03160959483
81	0.03147967006
82	0.03135525574
83	0.03117210637
84	0.03105002947
85	0.03096067604
86	0.03082088709
87	0.03072144967
88	0.03058015142
89	0.03049757123
90	0.03036004467
91	0.03020317788
92	0.03011405259
93	0.02996519174
94	0.02988728706
95	0.02974395238
96	0.02966035856
97	0.0295776093
98	0.02945150983
99	0.02934082072
100	0.02923158587
101	0.02918128948
102	0.029108577
103	0.02904951584
104	0.02896788233
105	0.02890648411
106	0.02882366419
107	0.02872360906
108	0.02865851239
109	0.02861255506
110	0.02850754489
111	0.02846488192
112	0.02844112028
113	0.0283217447
114	0.02826181891
115	0.02810662727
116	0.02804788125
117	0.02794816798
118	0.02787972626
119	0.02780474643
120	0.02772674731
121	0.02763294606
122	0.02748995205
123	0.02746654288
124	0.02741125172
125	0.02735554418
126	0.02729034949
127	0.02722008115
128	0.02714724463
129	0.02708635466
130	0.02705142459
