Model,Accuracy,CV Accuracy,CV Std,Precision,Recall,F1-Score,Train Time (s),Inference Time (s),Saved_at,Training dataset name,ROC-AUC,Num samples in dataset,Note,Ablation Group,Ablation Name,Ablation Mode,Parent Feature Dataset
Meta model (rich-signal Support Vector Machine v1),0.98891583,0.989459487,0.001586119,0.985210466,0.996547756,0.990846682,0.51,0.063,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.987107917,9623.0,meta_model_rich_svm_v1; sklearn v1.8.0,,,,
Meta model (rich-signal Multi-layer Perceptron v1),0.98960859,0.990053399,0.00075766,0.985779295,0.99712313,0.991418764,1.305,0.011,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.994986885,9623.0,meta_model_rich_mlp_v1; sklearn v1.8.0,,,,
Meta model (rich-signal XGBoost v1),0.995150675,0.992131872,0.001528442,0.993135011,0.998849252,0.995983936,0.083,0.01,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.998348491,9623.0,meta_model_rich_xgb_v1; sklearn v1.8.0,,,,
Meta model (rich-signal LightGBM v1),0.992726013,0.993616543,0.002554067,0.990851915,0.99712313,0.993977631,0.14,0.022,2026-04-19 04-22-52,data/results/stacker_training_features.csv,0.998552802,9623.0,meta_model_rich_lgbm_v1; sklearn v1.8.0,,,,
Meta model (4-signal Logistic Regression v1),0.98926221,0.988866015,0.001325939,0.984117981,0.998273878,0.991145387,0.016,0.003,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.992272262,9623.0,meta_model_4signal_lr_v1; sklearn v1.8.0,,,,
Meta model (4-signal Naive Bayes v1),0.983027364,0.985154283,0.002047393,0.986183074,0.98561565,0.985899281,0.008,0.003,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.99553021,9623.0,meta_model_4signal_nb_v1; sklearn v1.8.0,,,,
Meta model (4-signal Decision Tree v1),0.990994112,0.989608185,0.003149308,0.988584475,0.996547756,0.992550143,0.017,0.004,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.987359048,9623.0,meta_model_4signal_dt_v1; sklearn v1.8.0,,,,
Meta model (4-signal Random Forest v1),0.994111534,0.99302219,0.002025795,0.991433467,0.998849252,0.995127544,0.226,0.061,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.997620636,9623.0,meta_model_4signal_rf_v1; sklearn v1.8.0,,,,
Meta model (4-signal Gradient Boosting v1),0.994111534,0.993170889,0.001719216,0.991433467,0.998849252,0.995127544,0.497,0.005,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.996965891,9623.0,meta_model_4signal_gb_v1; sklearn v1.8.0,,,,
Meta model (4-signal K Nearest Neighbors v1),0.98926221,0.988420581,0.002420804,0.984667802,0.997698504,0.991140326,0.011,0.033,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.991833595,9623.0,meta_model_4signal_knn_v1; sklearn v1.8.0,,,,
Meta model (4-signal CatBoost Classifier v1),0.994111534,0.993170668,0.002947739,0.991433467,0.998849252,0.995127544,4.401,0.007,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.99807107,9623.0,meta_model_4signal_cb_v1; sklearn v1.8.0,,,,
Meta model (4-signal Support Vector Machine v1),0.98926221,0.988271992,0.00118761,0.984117981,0.998273878,0.991145387,0.435,0.052,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.987976737,9623.0,meta_model_4signal_svm_v1; sklearn v1.8.0,,,,
Meta model (4-signal Multi-layer Perceptron v1),0.988569449,0.987826668,0.001793607,0.983550766,0.997698504,0.990574122,1.221,0.004,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.99435843,9623.0,meta_model_4signal_mlp_v1; sklearn v1.8.0,,,,
Meta model (4-signal XGBoost v1),0.994804295,0.992874043,0.002078907,0.992567181,0.998849252,0.995698308,0.075,0.008,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.998190752,9623.0,meta_model_4signal_xgb_v1; sklearn v1.8.0,,,,
Meta model (4-signal LightGBM v1),0.993418774,0.993764801,0.003340011,0.990862364,0.998273878,0.994554314,0.138,0.017,2026-04-19 04-25-21,data/results/stacker_training_features_4signal.csv,0.998492961,9623.0,meta_model_4signal_lgbm_v1; sklearn v1.8.0,,,,
