Model,Accuracy,CV Accuracy,CV Std,Precision,Recall,F1-Score,Train Time (s),Inference Time (s),Saved_at,Training dataset name,ROC-AUC,Num samples in dataset,Note,Ablation Group,Ablation Name,Ablation Mode,Parent Feature Dataset
Ablation meta model (Support Vector Machine),0.7915410994492362,0.6772319032319032,0.0069232899250676,0.7954439070057732,0.8800276195408251,0.835600721193247,149.274,6.088,2026-06-03 20-46-48,data/results/stacker_training_features.csv,0.7881029549032573,9623.0,meta_model_richops_intrinsic_only_svm; sklearn v1.8.0,richops,intrinsic_only,operational,data/results/stacker_training_features.csv
Ablation meta model (Multi-layer Perceptron),0.8144029928296789,0.8144026784026783,0.0073732902256284,0.8126072710251209,0.8990160538581046,0.8536305523684642,45.801,0.005,2026-06-03 20-47-33,data/results/stacker_training_features.csv,0.8556783441255968,9623.0,meta_model_richops_intrinsic_only_mlp; sklearn v1.8.0,richops,intrinsic_only,operational,data/results/stacker_training_features.csv
Ablation meta model (Decision Tree),0.8214693962381794,0.8214687474687474,0.0057548241592,0.843765817445588,0.8632832729155878,0.8534129692832765,0.269,0.002,2026-06-03 20-47-34,data/results/stacker_training_features.csv,0.8107836323572295,9623.0,meta_model_richops_intrinsic_only_dt; sklearn v1.8.0,richops,intrinsic_only,operational,data/results/stacker_training_features.csv
Ablation meta model (Logistic Regression),0.6971838304063182,0.6971836271836273,0.0083047064090471,0.6911940496745915,0.8983255653374763,0.7812640744632938,0.453,0.003,2026-06-03 20-47-34,data/results/stacker_training_features.csv,0.6975075708100035,9623.0,meta_model_richops_intrinsic_and_vt_lr; sklearn v1.8.0,richops,intrinsic_and_vt,operational,data/results/stacker_training_features.csv
Ablation meta model (Gradient Boosting),0.8690637015483736,0.869064179064179,0.0028615537704701,0.8585666824869482,0.9368203003625064,0.8959881129271917,6.262,0.011,2026-06-03 20-47-41,data/results/stacker_training_features.csv,0.9374592050638229,9623.0,meta_model_richops_intrinsic_and_vt_gb; sklearn v1.8.0,richops,intrinsic_and_vt,operational,data/results/stacker_training_features.csv
Ablation meta model (Support Vector Machine),0.7501818559700717,0.619973161973162,0.0075601480544997,0.855613850996852,0.7037804246504402,0.7723053608638,166.15,6.858,2026-06-03 20-50-34,data/results/stacker_training_features.csv,0.8498406512947335,9623.0,meta_model_richops_intrinsic_and_vt_svm; sklearn v1.8.0,richops,intrinsic_and_vt,operational,data/results/stacker_training_features.csv
Ablation meta model (Multi-layer Perceptron),0.8596071911046451,0.8596077436077436,0.0062597290011979,0.859036534109279,0.9173139996547556,0.8872193004424409,72.976,0.009,2026-06-03 20-51-47,data/results/stacker_training_features.csv,0.9178708525054322,9623.0,meta_model_richops_intrinsic_and_vt_mlp; sklearn v1.8.0,richops,intrinsic_and_vt,operational,data/results/stacker_training_features.csv
Ablation meta model (Decision Tree),0.8513976930271225,0.8513967653967655,0.0074612364984061,0.8700593723494486,0.8853789055756948,0.8776522929500342,0.41,0.004,2026-06-03 20-51-47,data/results/stacker_training_features.csv,0.842644562019796,9623.0,meta_model_richops_intrinsic_and_vt_dt; sklearn v1.8.0,richops,intrinsic_and_vt,operational,data/results/stacker_training_features.csv
Ablation meta model (Logistic Regression),0.988361217915411,0.9883612063612064,0.0019327121872139,0.9839836428693134,0.9968928016571724,0.9903961584633854,0.352,0.003,2026-06-03 20-51-47,data/results/stacker_training_features.csv,0.993379648346636,9623.0,meta_model_richops_intrinsic_and_tranco_lr; sklearn v1.8.0,richops,intrinsic_and_tranco,operational,data/results/stacker_training_features.csv
Ablation meta model (Gradient Boosting),0.9929335965914996,0.992933768933769,0.0015262498534312,0.9914163090128756,0.9968928016571724,0.9941470132552936,10.014,0.013,2026-06-03 20-51-58,data/results/stacker_training_features.csv,0.9964466207753212,9623.0,meta_model_richops_intrinsic_and_tranco_gb; sklearn v1.8.0,richops,intrinsic_and_tranco,operational,data/results/stacker_training_features.csv
Ablation meta model (Support Vector Machine),0.9891925594928817,0.9891925911925912,0.0017195961863981,0.984335092797548,0.9979285344381148,0.9910852048688495,11.039,0.321,2026-06-03 20-52-09,data/results/stacker_training_features.csv,0.9885967533518216,9623.0,meta_model_richops_intrinsic_and_tranco_svm; sklearn v1.8.0,richops,intrinsic_and_tranco,operational,data/results/stacker_training_features.csv
Ablation meta model (Multi-layer Perceptron),0.9886729710069624,0.9886730566730566,0.0013298558291812,0.9833333333333332,0.998101156568272,0.9906622119420886,13.448,0.008,2026-06-03 20-52-22,data/results/stacker_training_features.csv,0.9942108937634734,9623.0,meta_model_richops_intrinsic_and_tranco_mlp; sklearn v1.8.0,richops,intrinsic_and_tranco,operational,data/results/stacker_training_features.csv
Ablation meta model (Decision Tree),0.988984724098514,0.9889850689850692,0.0022605504385639,0.9908510271016744,0.9908510271016744,0.9908510271016744,0.424,0.003,2026-06-03 20-52-23,data/results/stacker_training_features.csv,0.988506453498618,9623.0,meta_model_richops_intrinsic_and_tranco_dt; sklearn v1.8.0,richops,intrinsic_and_tranco,operational,data/results/stacker_training_features.csv
Ablation meta model (Logistic Regression),0.9861789462745506,0.9861789561789562,0.0020674984956066,0.9794984750931888,0.9979285344381148,0.9886276186404448,0.362,0.004,2026-06-03 20-52-23,data/results/stacker_training_features.csv,0.987504433864766,9623.0,meta_model_richops_extrinsic_lr; sklearn v1.8.0,richops,extrinsic,operational,data/results/stacker_training_features.csv
Ablation meta model (Gradient Boosting),0.9924140081055804,0.9924139104139104,0.0014919508935379,0.9920853406744666,0.9953392024857588,0.9937096079276174,6.983,0.014,2026-06-03 20-52-30,data/results/stacker_training_features.csv,0.9961214782043152,9623.0,meta_model_richops_extrinsic_gb; sklearn v1.8.0,richops,extrinsic,operational,data/results/stacker_training_features.csv
Ablation meta model (Support Vector Machine),0.9858671931829992,0.9857633177633176,0.0019041616744162,0.9801391953827872,0.9967201795270154,0.9883601506333448,18.37,0.348,2026-06-03 20-52-49,data/results/stacker_training_features.csv,0.9888980308006556,9623.0,meta_model_richops_extrinsic_svm; sklearn v1.8.0,richops,extrinsic,operational,data/results/stacker_training_features.csv
Ablation meta model (Multi-layer Perceptron),0.9861789462745506,0.986179064179064,0.0018750644085752,0.9798236690403528,0.9975832901778008,0.9886237276537508,14.15,0.01,2026-06-03 20-53-03,data/results/stacker_training_features.csv,0.9884941040302986,9623.0,meta_model_richops_extrinsic_mlp; sklearn v1.8.0,richops,extrinsic,operational,data/results/stacker_training_features.csv
Ablation meta model (Decision Tree),0.9929335965914995,0.992933390933391,0.0013398534444739527,0.9958427160921531,0.9924046262730882,0.9941206985993429,0.411,0.006,2026-06-03 20-53-04,data/results/stacker_training_features.csv,0.9928298040445861,9623.0,meta_model_richops_extrinsic_dt; sklearn v1.8.0,richops,extrinsic,operational,data/results/stacker_training_features.csv
