Split,Accuracy,Precision,Recall,F1,ROC_AUC,Inference Time (s),Avg Time / URL (s),Num Samples,saved_at,ensemble_type,data_type,bert_architecture,fusion_mode,Meta Model Name,Meta Model ID,Model Artifact,Evaluation Status,Evaluation Error,Train Accuracy,Train CV Accuracy,Train CV Std,Train Precision,Train Recall,Train F1-Score,Train Time (s),Train Inference Time (s),Train Saved_at,Training dataset name,Train ROC-AUC,Train Num samples in dataset,Train Note,selected_meta_model_dir,selected_stacker_variant
Test,0.736111111,0.693548387,1.0,0.819047619,1.0,0.215,0.00299,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Naive Bayes,meta_model_rich_nb_v1,data\ml_models\meta_model_rich_nb_v1\meta_model.pkl,success,,0.703498441,0.702790573,0.005508438,0.67027027,0.998849252,0.802218115,0.009,0.003,4/19/2026 4:22,data/results/stacker_training_features.csv,0.989239154,9623.0,,,
Test,1.0,1.0,1.0,1.0,1.0,2.74,0.03805,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Random Forest,meta_model_rich_rf_v1,data\ml_models\meta_model_rich_rf_v1\meta_model.pkl,success,,0.994457915,0.993616103,0.002681318,0.992562929,0.998273878,0.995410212,0.238,0.055,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998842241,9623.0,,,
Test,0.972222222,1.0,0.953488372,0.976190476,1.0,0.197,0.00274,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Support Vector Machine,meta_model_rich_svm_v1,data\ml_models\meta_model_rich_svm_v1\meta_model.pkl,success,,0.98891583,0.989459487,0.001586119,0.985210466,0.996547756,0.990846682,0.51,0.063,4/19/2026 4:22,data/results/stacker_training_features.csv,0.987107917,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.478,0.00663,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,XGBoost,meta_model_rich_xgb_v1,data\ml_models\meta_model_rich_xgb_v1\meta_model.pkl,success,,0.995150675,0.992131872,0.001528442,0.993135011,0.998849252,0.995983936,0.083,0.01,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998348491,9623.0,,,
Test,,,,,,,,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Calibrated Logistic Regression,meta_model_v1,data\ml_models\meta_model_v1\logistic_regression_calibrated.pkl,failed,AttributeError: 'SimpleImputer' object has no attribute '_fill_dtype',0.98986098,,,0.985594238,0.997743056,0.991631438,,,4/15/2026 8:54,data/results/stacker_training_features.csv,0.995631038,9567.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.824,0.01145,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Calibrated Logistic Regression,meta_model_v2,data\ml_models\meta_model_v2\logistic_regression_calibrated.pkl,success,,0.990023901,,,0.985677749,0.997928534,0.991765311,,,4/16/2026 0:50,data/results/stacker_training_features.csv,0.995526788,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,6.33,0.0879,72,2026-06-04 02:58:27,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_extrinsic_dt,4signal
Test,1.0,1.0,1.0,1.0,1.0,8.19,0.1137,72,2026-06-04 02:58:42,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_extrinsic_dt,4signal
Validation,1.0,1.0,1.0,1.0,1.0,6.33,0.0879,72,2026-06-04 03:00:46,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_extrinsic_dt,rich
Test,1.0,1.0,1.0,1.0,1.0,7.46,0.1036,72,2026-06-04 03:01:01,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_extrinsic_dt,rich
Validation,1.0,1.0,1.0,1.0,1.0,6.48,0.0899,72,2026-06-04 03:02:07,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_extrinsic_gb,4signal
Test,1.0,1.0,1.0,1.0,1.0,8.04,0.1116,72,2026-06-04 03:02:27,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_extrinsic_gb,4signal
Validation,1.0,1.0,1.0,1.0,1.0,8.36,0.1161,72,2026-06-04 15:11:00,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_extrinsic_gb,4signal
Test,1.0,1.0,1.0,1.0,1.0,8.95,0.1243,72,2026-06-04 15:11:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_extrinsic_gb,4signal
Validation,1.0,1.0,1.0,1.0,1.0,6.41,0.0891,72,2026-06-04 15:14:31,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_all_signals_gb,4signal
Test,1.0,1.0,1.0,1.0,1.0,7.35,0.1021,72,2026-06-04 15:14:46,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_4sig_all_signals_gb,4signal
Validation,1.0,1.0,1.0,1.0,1.0,6.55,0.0909,72,2026-06-04 15:17:52,,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_richops_cb_vt_gb,rich
Test,1.0,1.0,1.0,1.0,1.0,7.3,0.1013,72,2026-06-04 15:18:06,n/a,new_data,bert_cv3_f3_h512_l8_a8,stacking_selected,,,,,,,,,,,,,,,,,,,data\ml_models\ablation\meta_model_richops_cb_vt_gb,rich
