Split,Accuracy,Precision,Recall,F1,ROC_AUC,Inference Time (s),Avg Time / URL (s),Num Samples,saved_at,ensemble_type,data_type,bert_architecture,fusion_mode,Meta Model Name,Meta Model ID,Model Artifact,Evaluation Status,Evaluation Error,Train Accuracy,Train CV Accuracy,Train CV Std,Train Precision,Train Recall,Train F1-Score,Train Time (s),Train Inference Time (s),Train Saved_at,Training dataset name,Train ROC-AUC,Train Num samples in dataset,Train Note,selected_meta_model_dir,selected_stacker_variant
Validation,0.986111111,0.977777778,1.0,0.988764045,0.9992,0.202,0.00281,72,4/22/2026 2:15,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Multi-layer Perceptron,meta_model_4signal_mlp_v1,data\ml_models\meta_model_4signal_mlp_v1\meta_model.pkl,success,,0.988569449,0.987826668,0.001793607,0.983550766,0.997698504,0.990574122,1.221,0.004,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.99435843,9623.0,,,
Validation,0.972222222,0.977272727,0.977272727,0.977272727,0.9992,0.234,0.00325,72,4/22/2026 2:15,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Naive Bayes,meta_model_4signal_nb_v1,data\ml_models\meta_model_4signal_nb_v1\meta_model.pkl,success,,0.983027364,0.985154283,0.002047393,0.986183074,0.98561565,0.985899281,0.008,0.003,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.99553021,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,2.642,0.03669,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Random Forest,meta_model_4signal_rf_v1,data\ml_models\meta_model_4signal_rf_v1\meta_model.pkl,success,,0.994111534,0.99302219,0.002025795,0.991433467,0.998849252,0.995127544,0.226,0.061,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.997620636,9623.0,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,1.0,0.194,0.00269,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Support Vector Machine,meta_model_4signal_svm_v1,data\ml_models\meta_model_4signal_svm_v1\meta_model.pkl,success,,0.98926221,0.988271992,0.00118761,0.984117981,0.998273878,0.991145387,0.435,0.052,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.987976737,9623.0,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,0.9984,0.676,0.00938,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Calibrated Logistic Regression,meta_model_4signal_v1,data\ml_models\meta_model_4signal_v1\logistic_regression_calibrated.pkl,success,,0.988672971,,,0.983497788,0.997928534,0.990660612,,,4/16/2026 19:03,data/results/stacker_training_features_4signal.csv,0.993282385,9623.0,Derived from richer stacker_training_features.csv,,
Validation,1.0,1.0,1.0,1.0,1.0,0.474,0.00658,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,XGBoost,meta_model_4signal_xgb_v1,data\ml_models\meta_model_4signal_xgb_v1\meta_model.pkl,success,,0.994804295,0.992874043,0.002078907,0.992567181,0.998849252,0.995698308,0.075,0.008,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.998190752,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.435,0.00605,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,CatBoost Classifier,meta_model_rich_cb_v1,data\ml_models\meta_model_rich_cb_v1\meta_model.pkl,success,,0.993072393,0.993467735,0.002319747,0.990296804,0.998273878,0.994269341,4.453,0.013,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998595867,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.249,0.00346,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Decision Tree,meta_model_rich_dt_v1,data\ml_models\meta_model_rich_dt_v1\meta_model.pkl,success,,0.994111534,0.990795569,0.002917564,0.993123209,0.99712313,0.99511915,0.021,0.004,4/19/2026 4:22,data/results/stacker_training_features.csv,0.99187616,9623.0,,,
Validation,1.0,1.0,1.0,1.0,1.0,0.229,0.00318,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Gradient Boosting,meta_model_rich_gb_v1,data\ml_models\meta_model_rich_gb_v1\meta_model.pkl,success,,0.995150675,0.993467735,0.00190199,0.993699885,0.998273878,0.99598163,0.727,0.006,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998349743,9623.0,,,
Validation,0.986111111,0.977777778,1.0,0.988764045,0.9821,1.729,0.02401,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,K Nearest Neighbors,meta_model_rich_knn_v1,data\ml_models\meta_model_rich_knn_v1\meta_model.pkl,success,,0.98960859,0.989756333,0.002223013,0.985779295,0.99712313,0.991418764,0.02,0.073,4/19/2026 4:22,data/results/stacker_training_features.csv,0.992878933,9623.0,,,
